timestamp,consent,demo_gender,demo_area_of_study,demo_honours_class,demo_job_search_status,demo_num_prior_interns,demo_financial_urgency,feas_pa1,feas_pa2,feas_pa3,feas_pa4,feas_pa5,feas_ka1,feas_ka2,feas_ka3,feas_ka4,feas_cr1,feas_cr2,feas_cr3,feas_cr4,ac1,feas_sr1,feas_sr2,feas_sr3,feas_sr4,bhv_apps_4_wks,bhv_itvs_4_wks,bhv_job_update_check_daily,ac2,bhv_app_duration,bhv_app_status_check_daily,bhv_app_avoidance_weekly,bhv_job_search_exp
2/24/2026 8:47:57,I agree,Male,Computing and Data,Honours (Highest Distinction),Actively applying,1-2,5,5,2,4,1,1,1,1,1,1,4,1,2,2,2,3,2,1,2,31+,2 - 3,1 - 2,0,<10 min,1 - 2,1 - 2,Not knowing what the companies want. Sometimes the job description does not match what they expect. During interviews it's almost like I applied a different job. 
2/24/2026 11:51:05,I agree,Female,Computing and Data,Honours (Distinction),Actively applying,1-2,3,5,4,2,5,4,5,5,4,5,2,5,1,2,2,4,2,4,2,6 - 15,1,1 - 2,0,10 - 30 min,0,3 - 5,"I dl being on LinkedIn sometimes it’s a luck game and I feel like I’m not competitive so it’s just stressful and wondering whether I’ve already lost the chance since the HRs like to ghost. It’s a bad market that’s a bit too reliant on previous experiences and the things you did when you were really young, and it doesn’t advantage people who might have been a bit late to the game  and now struggle to find anything good"
2/24/2026 11:55:42,I agree,Female,Design & Engineering,Honours (Highest Distinction),Actively applying,1-2,2,4,2,1,3,2,5,4,5,5,3,5,5,3,2,2,5,4,2,16 - 30,0,3 - 5,0,10 - 30 min,1 - 2,1 - 2,"1. Not making good progress - not trying hard enough? Didn't study the right major, have the right CCAs or skills, grades not good enough

2. Instinctively perceived as reflection of self: Not good enough, not trying hard enough with job applications etc. But can also recognize that the market is not performing well, employers seem very hesitant and reluctant to hire, and are not transparent with job requirements / rejection reasons

3. Mental health significantly poorer on days dedicated to job applications, experience low energy, physical tiredness + headache-like feeling after 2h when job searching, cried myself to sleep several times out of stress despite strong support from family, friends and tutors"
2/24/2026 12:07:31,I agree,Male,Design & Engineering,Honours (Distinction),Actively applying,1-2,5,2,2,2,1,4,2,4,3,4,2,1,2,2,2,2,4,4,4,0,1,3 - 5,0,10 - 30 min,1 - 2,0,"1. Social circle: I feel worried when I hear others getting offers from a company that I have not head back from. It makes me feel uneasy and reduces my self-esteem
2. Rejection/no response: I feel my peers applying to the same positions as me are as competent as me, if not more, so I associate offers mostly with luck although I will acknowledge that there are other contributing factors involved.
3. Physical stress: None"
2/24/2026 12:08:09,I agree,Female,Computing and Data,Honours (Distinction),Secured but still actively applying,3 and above,2,4,4,5,5,3,5,5,5,5,3,4,5,3,2,5,3,2,4,16 - 30,1,1 - 2,0,10 - 30 min,1 - 2,3 - 5,"Seeing people get to big companies feels a little off putting. This is despite knowing  that there is survivorship biasness at play here. It does lower my confidence a little. 

When rejection or no responses I would think its a mixture of all. I am not skilled enough, the market isnt hiring enough in general and I just didnt catch the eyes of recruiters.

My energy levels honestly drop drastically. I have to actively force myself to write my resume and apply to jobs on my commutes because I know I would not do it at home. "
2/24/2026 14:30:19,I agree,Female,"Arts, Humanities & Social Sciences",,Planning to apply soon,3 and above,1,4,2,4,2,4,3,4,2,4,2,2,2,2,2,2,3,4,2,1 - 5,1,0,0,> 2h,Not Applicable,0,"I think what has been stressful would be thinking about the sheer amount of applications I would have to keep sending out. I have been fortunate that I could find internships previously rather easily, but finding a full-time job is a different ball game. What's also stressful is when reading the job descriptions, I feel under-qualified to apply for the positions due to a lack of relevant experience. Hearing from others both their success and non-success stories adds pressure too - hearing others being successful makes me feel like I'm behind, hearing others being unsuccessful makes me feel even more worried about the job market."
2/24/2026 15:55:13,I agree,Female,"Arts, Humanities & Social Sciences",Honours (Distinction),Planning to apply soon,1-2,4,5,2,3,3,3,3,5,4,4,5,5,5,3,2,3,3,4,4,1 - 5,1,1 - 2,0,30 - 60 min,1 - 2,1 - 2,"I'll just take whatever as it comes. It's annoying when you get a response and they proceed to ghost you but otherwise I'm fine getting rejected. Job hunting is a very taxing process. Very tiring, makes you feel useless, but eh. It'll all be okay in the end considering I'm bound to graduate university. The most concerned I am is with the application of my learnings and the replacement of jobs by ai. Regarding application of learning, my main concern is just the initial job application and interview because you can always learn on the job.. iT's convincing the interviewers to let you in that is the issue"
2/24/2026 17:17:51,I agree,Male,Science,Honours (Distinction),Planning to apply soon,0,4,2,2,4,2,1,5,5,2,4,5,4,5,1,2,1,3,5,1,0,0,0,0,Not Applicable,0,0,NIL
2/24/2026 18:35:19,I agree,Female,Science,Honours (Distinction),Actively applying,1-2,3,4,4,5,4,4,3,2,3,2,2,2,3,2,2,4,3,4,4,16 - 30,1,0,0,10 - 30 min,0,1 - 2,"I haven’t had much success in receiving responses at all, which is concerning. At the same time, the jobs available for my experience level does not seem ideal in terms of role and salary. It does affect my sleep at times, as I stay up thinking about what to do, takes up my free time (even study time at times) as I apply for jobs or look for opportunities "
2/24/2026 18:35:56,I agree,Female,Design & Engineering,Honours (Merit),Actively applying,1-2,4,5,2,4,3,5,4,5,2,2,3,3,3,3,2,5,4,3,2,1 - 5,0,0,0,30 - 60 min,0,0,"What worries me the most is that there aren’t many roles actually available for fresh graduates. Companies are either looking for interns or experienced members of the workforce. Those who are hiring for early career roles later state in the job openings that they’re looking for those who have 3-5 years of experience, which many fresh graduates do not have."
2/25/2026 10:56:21,I agree,Female,Computing and Data,Honours (Merit),Actively applying,3 and above,5,5,3,3,5,5,5,5,5,5,5,5,5,5,2,3,5,3,3,16 - 30,2 - 3,1 - 2,0,<10 min,0,1 - 2,"- stressful: knowledge that others are more qualified than me, even if i apply for the role there’s a solid chance im not gonna get it / even if i apply and secure interviews i might not make it to offer stage
- frustrating: some companies (swe roles) send instant online assessment after application, eg hackerrank or behavioral tests. those take min. 1h to complete, and since it’s instant sometimes recruiters don’t check your response / ghost you regardless
- emotionally challenging: obv i alr have PTSD from not being able to secure internships in the past, if this carries on to FT jobs it’s just…emotionally heavy yk."
2/25/2026 16:26:55,I agree,Male,Design & Engineering,Honours,Actively applying,1-2,4,4,3,2,2,1,3,4,2,3,2,2,3,2,2,3,4,4,2,6 - 15,0,3 - 5,0,30 - 60 min,1 - 2,0,Concerning… Seems like entry level position always have some minimum requirement of x no. of years at a certain position. That really narrows down the positions that I can apply for.  I also see quite a few friends securing jobs which makes me even more stressed out as I still have yet to secure one. It also makes me feel that I have to likely settle for less to get a job (settling for a job with a lower pay grade than expected).
2/25/2026 16:50:03,I agree,Female,Business & Management,Honours (Distinction),Actively applying,3 and above,4,4,1,4,2,5,1,1,1,3,3,1,3,4,2,3,3,1,4,6 - 15,1,1 - 2,0,10 - 30 min,1 - 2,1 - 2,"1. i don’t really like going on linkedin because its stressful to see others progress when youre not. feels like youre lagging behind
2. i think it means that maybe i was lacking some skills they were looking for, but if its because i answered poorly, every interview is a good learning experience to answer better next time.
3. i get quite anxious and feel like its hard to focus on other aspects of my life"
2/26/2026 10:24:18,I agree,Female,Science,Honours (Distinction),Planning to apply soon,1-2,4,4,4,3,5,4,4,4,5,2,4,3,4,3,2,4,4,2,4,1 - 5,0,0,0,<10 min,0,1 - 2,"Updating CV alone can be really stressful as we do not know what the employers may be looking out for. For linkedin, seeing that for a single role, about 100+ applications has been made is also just as intimidating, as I will be competing with that many people for that role if I end up applying too. Lastly, interviews ofcourse, to be fully prepared for any theoretical or practical questions that the interviewers throw at you. "
2/26/2026 13:46:25,I agree,Male,Computing and Data,Honours (Highest Distinction),Actively applying,3 and above,5,4,3,4,3,2,5,4,4,4,5,4,5,3,2,3,1,1,2,31+,1,1 - 2,0,<10 min,0,6 +,I have been getting a lot of rejections and now I am mostly numb to it. It is just those that I put in a lot of effort for and thought I had a good shot of getting that really gets me. Getting so many rejections made me put less effort in job applications and just mass apply instead as I don't see the point of putting in a lot of effort to write a nice cover letter and all.
2/26/2026 14:55:06,I agree,Male,Computing and Data,Honours (Distinction),Actively applying,1-2,5,5,4,3,4,2,4,5,4,5,4,5,5,4,2,1,3,3,1,31+,2 - 3,3 - 5,0,<10 min,3 - 5,1 - 2,"I have insufficient experience as a fresh graduate when applying for jobs, even including those entry level ones.

When I see others getting a job, I feel the need to get one also as it makes be feel behind in life.

When I get rejected, I feel sad as I think I am not good enough.

This affects me as I constantly think about needing a job."
2/26/2026 15:00:10,I agree,Female,Computing and Data,Honours (Merit),Actively applying,1-2,4,5,5,5,5,3,4,4,3,4,4,4,4,4,2,2,2,2,2,6 - 15,1,1 - 2,0,<10 min,0,3 - 5,Incredibly stressed out thinking about acquiring full time opportunities. Sometimes feel insecure when comparing myself with my peers who already have a job and those who will be earning a lot for their fresh graduate job. 
2/27/2026 19:16:25,I agree,Male,Computing and Data,Pass,Actively applying,1-2,5,4,1,2,4,2,4,5,4,3,4,5,5,2,2,3,4,4,3,16 - 30,0,1 - 2,0,<10 min,0,1 - 2,Sad
2/28/2026 2:46:04,I agree,Female,Computing and Data,Honours (Distinction),Already secured job,1-2,3,4,4,5,3,3,4,4,4,5,3,4,4,4,2,2,4,2,3,0,0,1 - 2,0,Not Applicable,Not Applicable,0,I get stressed thinking if I should apply for more job postings even if I have already secured a job. I'm unsure if going through the job hiring process is worth it for more job options as I do not feel like I have any competitive edge against the rest of my graduating cohort.
2/28/2026 18:07:13,I agree,Male,Computing and Data,Honours (Distinction),Planning to apply soon,3 and above,5,5,3,5,5,5,5,5,5,5,5,5,5,4,2,4,3,2,2,0,0,0,0,<10 min,Not Applicable,6 +,"Over the past two weeks, job searching has left me feeling completely demoralized. Seeing peers announce their new roles on LinkedIn has been the hardest part—it constantly reminds me that I'm falling behind while everyone else moves forward. I try to feel happy for them, but mostly I just feel inadequate.

The worst part is that this comparison has destroyed my confidence to the point where I struggle to even apply. I look at job descriptions and immediately fixate on what I don't know. I can't shake the feeling that my knowledge isn't solid enough, that I'd be exposed as a fraud in any interview. So I procrastinate, telling myself there's no point.

Physically, this stress shows up as total exhaustion. I have zero energy to sit down and apply, which makes me feel worse, which drains me further. It's a loop I can't break. Even focusing on my current courses feels impossible when my mind is consumed with worry about the future."
2/28/2026 22:10:57,I agree,Female,Science,Honours (Merit),Actively applying,3 and above,3,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,16 - 30,4+,3 - 5,0,<10 min,3 - 5,3 - 5,Sometimes it could feel like everyone is moving forward and hitting the next goal while I'm still at the same spot. 
2/28/2026 22:11:57,I agree,Female,"Arts, Humanities & Social Sciences",Honours (Distinction),Actively applying,3 and above,3,3,2,2,4,3,2,3,4,2,3,4,5,4,2,3,4,4,3,1 - 5,0,1 - 2,0,10 - 30 min,1 - 2,3 - 5,Stressful and frustrating that they are not getting back to me. It is also unsettling as I do not know how to plan my time properly after graduation as I do not have a specified structure in my near future.
2/28/2026 22:12:43,I agree,Female,Business & Management,Honours (Distinction),Already secured job,1-2,3,4,1,4,4,5,3,4,3,4,4,4,4,2,2,4,4,4,4,16 - 30,1,1 - 2,0,10 - 30 min,Not Applicable,3 - 5,I feel bad about myself when I see others’ Linkedin posts and I feel lacking behind. I think it’s a reflection of my lack of experience/skills when I get rejected or no response. 
2/28/2026 22:13:54,I agree,Male,Design & Engineering,Honours (Merit),Actively applying,1-2,4,4,1,1,2,3,2,3,2,2,1,3,4,3,2,3,4,3,4,6 - 15,1,3 - 5,0,10 - 30 min,3 - 5,6 +,I do not really compare with other people as they have their own milestones which mean to them. First reason for rejection or no response is just a matter of project mismatch with duration specified. Stress comes in waves when I am reminded of the topic
2/28/2026 22:39:03,I agree,Female,"Arts, Humanities & Social Sciences",Honours (Distinction),Planning to apply soon,3 and above,4,5,3,4,3,4,4,4,4,5,3,4,4,4,2,2,3,3,2,1 - 5,0,1 - 2,0,10 - 30 min,1 - 2,0,"It is stressful to see that the jobs that i'm interested in require a few years of experience, essentially meaning that the number of choices i get to choose become lesser. I feel like I have not accomplished enough to compete with others who posted their achievements on LinkedIn"
2/28/2026 23:07:32,I agree,Female,"Arts, Humanities & Social Sciences",Honours,Planning to apply soon,1-2,4,4,2,1,2,1,2,4,2,4,1,1,1,4,2,1,2,2,1,0,0,1 - 2,0,Not Applicable,Not Applicable,0,"The barrier to job applications stem mostly from the time and effort required to apply for one and to update my resume.
I do constantly feel a certain pressure to find a job before graduation and the fear that there will be lesser and lesser job openings if i do not start soon.
Additionally, during catchups with friends and relatives, I often face the question for whether I am planning to convert my internship into a FT job or have found a job "
3/1/2026 1:28:15,I agree,Female,Science,Honours (Distinction),Planning to apply soon,1-2,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,10 - 30 min,0,0,nil
3/1/2026 1:41:48,I agree,Female,Business & Management,Honours,Actively applying,3 and above,4,5,2,4,5,2,5,5,5,3,5,5,5,3,2,1,4,4,1,6 - 15,0,0,0,<10 min,0,3 - 5,Not hearing back from companies and wondering if something is wrong with my resume or skillset.
3/1/2026 1:51:08,I agree,Female,Business & Management,Honours (Highest Distinction),Already secured job,0,4,5,5,5,5,3,3,3,4,3,3,3,3,3,2,3,4,4,3,0,0,1 - 2,0,10 - 30 min,1 - 2,0,"I have secured a job within 3 months after my uni life ended. But during that 3 months time, I will spend about 3-4 hours per day (average) to apply for jobs. Have sent out about 90+ of applications and only received declines. I believe the market was bad due in that period of time but also my degree (as I’m not from local university). Was kind of worried that I might not be able to land on a job within 6 months time as many said so. With the stress, I will spend more times everyday treating job search as my main focus, and luckily by mass application and using LinkedIn easy apply, I manage to got into my current job. Energy level on application was pretty low as i felt kind of numb and repetitive in submitting the same information "
3/1/2026 7:51:33,I agree,Female,Business & Management,Honours (Distinction),Already secured job,0,3,5,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16 - 30,0,1 - 2,0,30 - 60 min,3 - 5,1 - 2,2
3/1/2026 9:56:22,I agree,Male,Design & Engineering,Honours (Distinction),Not started,3 and above,3,4,2,4,2,3,4,3,3,3,3,3,3,3,2,3,2,3,2,0,0,0,0,Not Applicable,Not Applicable,0,-
3/1/2026 10:35:50,I agree,Male,"Arts, Humanities & Social Sciences",Honours (Distinction),Planning to apply soon,1-2,4,4,4,3,5,2,3,3,3,2,4,3,2,4,2,2,2,3,2,0,0,0,0,10 - 30 min,0,0,"I am happy for my friends that have found jobs though of course I become a little worried and perhaps a little jealous in the meantime especially those that received high-paying jobs but this does not affect me or the friendship much! 

When I get rejected, I feel as if I'm not good enough, and that there is always someone out there better than me but I will try again.

It hasn't affected me physically just yet."
3/1/2026 11:20:27,I agree,Male,Computing and Data,Honours (Distinction),Actively applying,1-2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,6 - 15,0,1 - 2,0,<10 min,1 - 2,1 - 2,I dont compare. Just spray and pray
3/1/2026 11:33:04,I agree,Female,"Arts, Humanities & Social Sciences",Honours (Merit),Planning to apply soon,0,3,2,4,5,2,2,4,3,4,4,5,5,5,3,2,4,5,5,4,1 - 5,0,1 - 2,0,10 - 30 min,Not Applicable,1 - 2,"When my peers holding the same years of education as me announce that they have gotten job offers here and there, it makes me wonder what I might be doing wrong. No one said this would be easy, but it’s hard to not become discouraged over rejection and anxious that my entire future depends on the whims of someone higher up in the ladder or just luck in general. I start to think that maybe there’s more that can be done by me even when I’m already doing all that I can."
3/1/2026 11:41:50,I agree,Male,"Arts, Humanities & Social Sciences",Honours (Distinction),Planning to apply soon,3 and above,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,4,4,2,6 - 15,2 - 3,1 - 2,0,<10 min,1 - 2,0,"1) dont really care, i reach my milestones can liao 2) not good enough for a competitive market 3) it makes me want to work harder to prove that im good enough so they will be begging me to work for them in the future"
3/1/2026 13:21:00,I agree,Female,Science,Honours (Merit),Actively applying,1-2,4,5,2,2,5,3,4,5,4,5,5,2,5,5,2,2,4,5,4,16 - 30,0,1 - 2,0,<10 min,1 - 2,3 - 5,"I feel behind
I think its the market
I cant focus on my course"
3/1/2026 14:02:43,I agree,Female,Computing and Data,Honours (Distinction),Im currently still an undergraduate but ive secured an internship,1-2,3,5,5,5,3,4,3,4,3,2,4,3,2,2,2,4,5,5,5,0,0,0,0,1 - 2 h,Not Applicable,0,"I havent been finding a job for the past 2 weeks.

Im not sure if this is relevant but i do feel a lot of stress and pressure from scrolling through my peers linkedin profile and seeing their work experiences and projects. Im worried that once i graduate i wont have a hard time securing a job since my work experience is little and i tend to focus more on sch work than expose myself to external competitions or hackathons."
3/2/2026 10:42:58,I agree,Male,Business & Management,Honours (Highest Distinction),Actively applying,3 and above,4,3,1,2,2,4,3,4,4,4,2,4,2,1,2,2,2,2,2,16 - 30,2 - 3,6+,0,10 - 30 min,1 - 2,0,"1. Not being to secure a job when others are, 2. No reason comes to mind- just focus on the next interview. It can be due to luck. 3. No effect"
3/2/2026 11:44:27,I agree,Male,Computing and Data,Honours (Merit),Actively applying,1-2,5,4,1,1,4,2,4,3,3,1,4,5,5,2,2,1,2,2,1,16 - 30,2 - 3,1 - 2,0,<10 min,1 - 2,0,"The market is so bad, did I make a mistake with choosing this course? Should I have done more? What else can I do? Will I ever get a job?"
3/3/2026 18:55:23,I agree,Male,Business & Management,Honours (Distinction),Already secured job,3 and above,4,3,1,1,2,1,2,3,2,2,2,1,4,2,2,1,5,5,1,6 - 15,2 - 3,1 - 2,0,30 - 60 min,1 - 2,1 - 2,"Yea, looking at other milestones make me depressed and think about how I should have tried harder in my university, even though I didnt do too bad in terms of internships.

I feel its the market, because I am often qualified for the job that I am applying.

Yes, it makes me stressed and is a huge distraction"
3/3/2026 22:47:56,I agree,Male,Science,Honours (Distinction),Not started,1-2,4,4,3,4,3,4,4,4,4,4,4,4,4,4,2,3,4,4,4,1 - 5,1,1 - 2,0,30 - 60 min,1 - 2,1 - 2,"1. can sometimes feel inferior to others, and feel i am lagging behind
2. can always try again, but have to identify areas for improvement
3. not really actually"
3/5/2026 18:39:36,I agree,Female,"Arts, Humanities & Social Sciences",Honours (Distinction),Already secured job,3 and above,3,4,1,1,4,1,5,4,5,5,3,5,5,5,2,2,5,4,4,1 - 5,1,0,0,30 - 60 min,0,1 - 2,stressful because i want to find a job that meets my expectations 
3/5/2026 18:45:25,I agree,Female,Computing and Data,Honours (Merit),Actively applying,1-2,3,5,4,4,4,4,4,4,4,4,5,4,4,4,2,3,4,4,4,1 - 5,0,1 - 2,0,10 - 30 min,1 - 2,1 - 2,"I think seeing that everyone’s linkedin seems so much more accomplished than you, when others seem to be achieving so much more, you tend to feel left behind and inadequate. I think a rejection will definitely feel like it’s maybe you’re not enough but i have to realised that there are actually many other reasons why which you are unable to control. It does feel demoralising after awhile but I get used to it."
3/5/2026 20:57:57,I agree,Male,Computing and Data,Honours (Merit),Actively applying,0,3,3,4,4,1,1,2,2,2,3,3,4,3,4,2,3,4,4,4,31+,1,1 - 2,0,10 - 30 min,1 - 2,1 - 2,"I've been really stressed cuz I'm close to graduating and still haven't secured a job. When I see my friends securing jobs, I honestly feel a little jealous of them and feel bad about my own ability."
3/5/2026 21:00:51,I agree,Male,Computing and Data,Honours (Merit),Not started,0,2,4,3,4,4,4,4,4,4,4,2,2,4,2,2,4,4,4,4,1 - 5,0,3 - 5,0,> 2h,3 - 5,1 - 2,"The applications require so much effort, like I recalled one of the companies that I applied to even ask us to record our answers for interview questions. I took a whole day just to be able to find the motivation to record all the videos and send in. Afterwards, the next stage required me to send in my answers for a take home assignment. I just gave up on doing it since I felt it was too overwhelming. It is just too much effort for possibly no reward at all. Maybe I'm just incompetent at the work that I do. "
3/5/2026 21:01:23,I agree,Male,Design & Engineering,Honours (Highest Distinction),Actively applying,1-2,2,2,2,3,1,2,4,4,5,4,2,4,4,2,2,2,1,1,2,6 - 15,1,3 - 5,0,10 - 30 min,1 - 2,1 - 2,"i thought im doing pretty well in school since i have gotten first class honours but since i started applying for full time a month ago i have not gotten many responses so im quite worried for my future after graduation. i do not feel envious of other's achievement as the situation is different for everyone. i think the main reason for rejection is the job market, there is so less spots but so many graduates looking for a job. i have just started to job search and i am already getting so tired... cant imagine those that do this for years without results"
3/5/2026 21:01:39,I agree,Female,Computing and Data,,Planning to apply soon,1-2,3,4,3,3,4,3,5,5,5,5,5,4,5,5,2,3,4,4,3,0,0,0,0,30 - 60 min,1 - 2,1 - 2,"1. Feel inferior, any progress ive made seems insignificant
2. Feel like im not skilled enough
3. Make me feel very unmotivated to apply for jobs "
3/5/2026 21:01:47,I agree,Male,"Arts, Humanities & Social Sciences",Honours (Highest Distinction),Actively applying,1-2,4,2,1,1,2,2,2,2,3,3,4,2,3,2,2,4,2,1,1,6 - 15,1,1 - 2,0,10 - 30 min,0,1 - 2,"I understand that the job market is not great right now, so the difficult job search experience I'm having is not a reflection of my own skills"
3/5/2026 21:05:47,I agree,Male,"Arts, Humanities & Social Sciences",Honours (Distinction),Actively applying,1-2,4,4,2,2,2,3,2,4,4,2,2,2,2,3,2,2,2,2,2,16 - 30,1,6+,0,30 - 60 min,6 +,1 - 2,"When I go onto LinkedIn, i frequently see my peers getting new internships. Personally this has made me feel that I'm behind and there could be something I'm lacking. I think my first reason is likely just my lack of experience. This definitely affected my sleep and energy levels since I have been stressed about finding a job for a long time."
3/5/2026 21:06:17,I agree,Male,Design & Engineering,Honours (Distinction),Actively applying,1-2,2,2,2,2,1,4,4,4,3,4,3,4,5,2,2,1,2,1,1,6 - 15,2 - 3,1 - 2,0,<10 min,1 - 2,1 - 2,I've finally secured an offer and it is such a relief as I was quite stressed about securing a job given the current job market.
3/5/2026 21:06:54,I agree,Female,Science,Honours,Planning to apply soon,1-2,3,4,3,3,5,4,4,5,5,3,5,4,5,3,2,2,2,2,3,0,0,6+,0,Not Applicable,Not Applicable,6 +,"honestly, i dont see any reason for people to hire me when there are smarter people looking for jobs, also all job postings include so many qualifications that are not taught in school and i have zero experience in. i think job search requires all 3 combination of skills, good market and luck which i lack for all. i dont think im stressed physically, just mentally tired."
3/6/2026 13:00:40,I agree,Female,Computing and Data,,Actively applying,1-2,4,4,2,2,4,4,4,4,5,5,5,5,4,4,2,3,3,4,4,1 - 5,2 - 3,1 - 2,0,1 - 2 h,3 - 5,3 - 5,"Over the past two weeks, job searching has felt quite stressful and draining. I’ve been spending time looking through postings and submitting applications, but the hardest part is often the uncertainty and lack of response. It can feel discouraging to put effort into tailoring applications and then hear nothing back.

Seeing updates on LinkedIn or hearing about friends getting offers also brings mixed emotions. I’m happy for them, but it’s hard not to compare my progress with theirs, which sometimes makes me question whether I’m doing enough or if I’m falling behind.

When I don’t hear back or get rejected, my first thought is usually whether my experience or skills aren’t strong enough, even though I know the job market is competitive and there are many factors involved. The stress sometimes makes it harder to focus on my coursework, since part of my mind is always thinking about applications or upcoming deadlines. Overall, the process feels quite uncertain and mentally tiring."
3/8/2026 20:18:34,I agree,Male,Computing and Data,Honours (Distinction),Actively applying,1-2,5,4,2,1,2,1,4,3,4,3,4,5,5,4,2,1,1,2,1,31+,0,3 - 5,0,10 - 30 min,1 - 2,3 - 5,"I feel exhausted applying to many job applications and preparing for interviews, yet not receiving any fruitful results from them. I feel worried that all my peers are getting ahead in life while I am still stuck at the first step. I feel disappointed at myself when I see others of my same age achieving success in their careers. Sometimes, I am confused whether it is the lack of my skills or the market that is affecting my chance of getting a job. Yes, sometimes I am unable to be at ease/peace because the anxiety of not being employed gets into my head. It also affects my sleep and my motivation to continue trying to apply for jobs."
3/9/2026 16:24:26,I agree,Female,Business & Management,Honours,Actively applying,1-2,3,5,4,2,3,1,4,3,2,3,2,2,2,4,2,2,1,3,2,6 - 15,0,0,0,<10 min,0,6 +,"1. I think it makes me feel anxious and not enough so I try not to look at other's progress
2. I think it is a reflection of my skills
3. affects my sleep and daily conversations with friends"
